marker,chr,pos
RGA74.15,14,76.9291
*stm548tgag,14,80.3829
*stm518tctg,14,81.5736
cdo400,14,82.8238
*stm516tgag,14,87.6002
wmc289,14,105.8724
*stm517acat,14,116.009
wPt-5896,14,117.2288
gwm604,14,129.9994
wPt-8094,14,131.2192
wmc235,14,144.1588
wPt-8414,14,160.0585
wPt-1348,14,171.0426
mpartridge,15,0
PinA,15,7.5921
cfd18,15,13.3314
wmc233,15,15.1841
*stm516tctg,15,24.6282
gdm68,15,46.9736
psr326b,15,56.0265
gdm43,15,89.7747
wPt-5505,15,109.1044
Sr30,15,112.3878
abg3,15,119.0944
P32|M48-237,15,134.9941
P38|M47-1,15,157.6696
*stm566agac,15,192.8031
gwm272,15,205.4093
RGA65,15,211.8971
gwm334,16,0
psr119a,16,22.4985
abg466,16,24.4603
mwg573,16,37.4189
wPt-0259,16,47.1282
Oscar3,16,56.8889
psr627,16,58.0656
abc175b,16,87.1982
wmc163,16,93.5818
*stm544acag,16,113.2933
cdo1091a,16,141.1823
cdo836,16,155.1026
gwm617,16,156.5956
mwg798,16,159.8259
wPt-3733,17,0
gwm88,17,8.7296
wg232b,17,9.6306
gwm644,17,10.3606
bcd1426,17,13.727
*stm520tctg,17,16.2934
wPt-1730,17,18.8597
wPt-4924,17,21.6404
wPt-7627,17,24.3457
cdo1091b,17,30.963
*stm155tctg,17,44.3706
psr546b,17,45.5473
wPt-9930,17,48.1471
wPt-3879,18,0
gwm132,18,16.8236
gdm141,18,32.8552
wmc416,18,51.2414
wg933,18,59.8357
*stm537acag2,18,66.2814
scuM1,18,112.9751
RGA40(2),18,115.8353
gdm98,18,121.9259
RGA40(3),18,128.6325
cmwg684a,18,136.3863
fbb59,18,138.6957
abg704a,19,0
abg75b,19,1.429
bcd873a,19,4.7672
wPt-3220,19,8.4777
*stm546acag,19,9.7438
wPt-4835,19,18.2589
bcd135a,19,22.4353
Sun1A1,19,35.9803
cdo475,19,51.8801
cdo1395,19,55.8357
wmc283,19,56.5254
wPt-7785,19,64.3816
wmc83,19,74.7856
cdo595,19,84.6519
psr311a,19,85.9509
wmc247,19,86.6176
*stm503acag2,19,100.3688
P40|M51-4,19,137.6817
wmc116,19,141.02
abg652,19,154.4949
fba349,19,166.9243
RGA35,19,173.3423
psr121,19,173.9792
RGA87(8),19,175.941
RGA63,20,0
*stm517tcac2,20,3.5775
wmc338,20,9.1561
abc158,20,17.44
wPt-7318,20,22.4568
*stm504tgag,20,34.6955
*stm519acat,20,36.0657
gwm537,20,44.4775
wPt-8283,20,53.4328
abc465a,20,54.6526
wmc76,20,56.9619
cdo949,20,71.6566
wPt-8106,20,75.4614
wPt-1553,20,79.3654
*stm547agac,20,81.1205
*stm511acat2,20,84.3508
*stm96tctg,20,85.7596
gwm111,20,118.7558
wPt-5341,20,128.4651
*stm5tcac-4,20,129.6702
wg232a,20,137.6744
wg420,20,144.5551
wPt-4300,20,149.4891
wPt-3093,20,152.5231
*stm510acat,20,153.7733
wPt-3190,20,157.7289
RGA20(2),20,160.231
BE637476,20,162.2321
wPt-5138,20,163.6023
psr680b,20,164.8684
wPt-0884,20,166.1845
wPt-4259,20,167.6555
gwm344b,20,176.7281
psr160b,21,0
abg704c,21,11.0022
psr119c,21,14.8314
bcd873b,21,17.0225
cdo1400,21,20.8273
RGA58(2),21,44.7151
*stm517tcac1,21,125.187
wmc405,21,145.8245
gwm44,21,147.2637
ksuA1a,21,149.3927
wmc121,21,154.011
*stm535acag,21,159.0278
gwm437,21,162.5218
gwm121,21,180.2878
wmc157,21,197.9196
*stm1actc,21,200.4216
*stm5tcac-3,21,202.8928
wPt-1405,21,207.1891
