genotype,DH6-10,DH6-101,DH6-102,DH6-104,DH6-105,DH6-108,DH6-11,DH6-111,DH6-112,DH6-114,DH6-119,DH6-124,DH6-125,DH6-128,DH6-129,DH6-13,DH6-130,DH6-131,DH6-134,DH6-135,DH6-138,DH6-14,DH6-143,DH6-144,DH6-148,DH6-149,DH6-15,DH6-152,DH6-157,DH6-160,DH6-161,DH6-162,DH6-164,DH6-165,DH6-166,DH6-170,DH6-171,DH6-178,DH6-179,DH6-18,DH6-180,DH6-182,DH6-186,DH6-187,DH6-189,DH6-19,DH6-195,DH6-198,DH6-199,DH6-2,DH6-20,DH6-200,DH6-202,DH6-204,DH6-205,DH6-206,DH6-207,DH6-209,DH6-21,DH6-212,DH6-214,DH6-215,DH6-216,DH6-219,DH6-220,DH6-221,DH6-223,DH6-225,DH6-226,DH6-227,DH6-228,DH6-229,DH6-231,DH6-233,DH6-234,DH6-236,DH6-237,DH6-25,DH6-26,DH6-27,DH6-28,DH6-30,DH6-31,DH6-32,DH6-34,DH6-35,DH6-36,DH6-37,DH6-38,DH6-39,DH6-4,DH6-41,DH6-42,DH6-43,DH6-44,DH6-45,DH6-46,DH6-49,DH6-5,DH6-50,DH6-52,DH6-53,DH6-54,DH6-55,DH6-56,DH6-58,DH6-59,DH6-6,DH6-60,DH6-62,DH6-63,DH6-66,DH6-69,DH6-7,DH6-71,DH6-72,DH6-73,DH6-75,DH6-77,DH6-8,DH6-82,DH6-83,DH6-84,DH6-85,DH6-86,DH6-89,DH6-9,DH6-90,DH6-92,DH6-96,DH6-99,DH7-1,DH7-10,DH7-100,DH7-101,DH7-102,DH7-103,DH7-104,DH7-106,DH7-107,DH7-108,DH7-109,DH7-11,DH7-110,DH7-111,DH7-112,DH7-113,DH7-115,DH7-117,DH7-118,DH7-119,DH7-12,DH7-120,DH7-122,DH7-124,DH7-125,DH7-126,DH7-127,DH7-129
wPt-4886,-1,99,99,99,99,-1,-1,-1,-1,99,1,-1,99,-1,-1,99,1,-1,1,-1,-1,-1,-1,1,99,99,1,-1,99,-1,-1,99,-1,1,1,-1,1,1,1,99,1,-1,-1,1,1,-1,1,99,99,1,99,99,-1,-1,1,1,99,99,99,99,-1,99,-1,-1,1,-1,99,-1,99,1,1,99,99,-1,1,-1,-1,-1,-1,99,-1,99,1,1,99,1,-1,-1,99,99,1,-1,-1,99,-1,-1,99,99,99,1,-1,1,-1,1,99,-1,99,99,99,99,99,99,1,99,99,99,-1,1,99,99,99,1,99,-1,99,99,99,99,-1,99,99,-1,99,99,99,99,1,99,99,-1,-1,99,99,99,99,99,99,99,99,1,-1,1,1,1,99,99,1,99,99
wmc120,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1
cdo105,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,99,99,1,-1,-1,-1,1,1,99,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,99,1,99,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,99,1,99,1,1,1,-1,99,1,-1,1,1,1,1,1,-1,-1,1
wPt-6074,-1,99,99,99,99,-1,-1,-1,-1,99,1,-1,99,-1,99,99,99,-1,1,-1,-1,-1,-1,-1,99,99,1,-1,99,-1,-1,99,99,1,99,-1,-1,1,1,99,1,99,-1,1,1,1,99,99,99,1,99,99,-1,-1,1,1,99,99,99,99,-1,99,-1,-1,1,-1,99,-1,99,1,1,99,99,-1,1,-1,-1,1,-1,99,-1,99,1,1,99,1,99,-1,99,99,1,-1,-1,99,-1,-1,99,99,99,1,-1,1,-1,1,99,-1,99,99,99,99,99,99,99,99,99,99,-1,1,99,99,99,1,99,-1,99,99,99,99,-1,99,99,-1,99,99,99,99,-1,99,99,-1,-1,99,99,99,99,99,99,99,99,1,1,1,1,1,99,99,-1,99,99
GluA1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,99,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,99
bcd808b,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,99,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,99,-1,99,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1
wis-2,-1,1,1,-1,-1,1,-1,1,-1,99,1,-1,1,-1,1,1,-1,99,1,-1,1,-1,-1,-1,99,1,1,99,1,1,-1,1,1,99,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,99,-1,1,1,1,-1,1,99,1,99,-1,-1,-1,99,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,99,1,1,-1,1,-1,-1,1,1,1,1,1,99,1,1,99,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,99,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,99,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,99,1,-1,-1,-1,1,-1,-1,-1,99
wPt-5316,-1,99,99,99,99,1,-1,1,-1,99,1,1,99,-1,1,99,-1,1,1,-1,1,1,-1,-1,99,99,1,-1,99,1,-1,99,1,1,1,-1,1,1,-1,99,1,1,1,1,-1,1,1,99,99,-1,99,99,1,1,1,-1,1,99,99,99,-1,99,-1,1,1,-1,99,-1,99,1,1,99,99,-1,1,-1,1,99,-1,99,1,99,1,-1,99,1,99,-1,99,99,1,1,1,99,1,1,99,99,99,-1,-1,1,-1,1,99,1,99,99,99,99,99,99,-1,99,99,99,-1,-1,99,99,99,-1,99,1,99,99,99,99,-1,99,99,-1,99,99,99,99,1,99,99,1,-1,99,99,99,99,99,99,99,99,-1,1,-1,-1,-1,99,99,-1,99,99
ksuH9b,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,99,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
RGA24(1),-1,99,1,-1,99,1,-1,1,-1,99,1,1,1,99,1,1,1,1,1,-1,1,1,99,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,99,-1,99,99,-1,1,1,-1,99,99,99,99,99,-1,99,-1,1,99,-1,99,99,99,99,99,1,1,-1,1,-1,-1,1,99,99,-1,99,99,-1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
wPt-5274,-1,99,99,99,99,1,-1,1,-1,99,1,99,99,-1,1,99,1,1,1,-1,99,1,99,-1,99,99,1,-1,99,1,1,99,1,1,1,1,99,99,-1,99,1,1,1,-1,-1,-1,1,99,99,-1,99,99,1,99,-1,-1,1,99,99,99,-1,99,-1,1,1,-1,99,-1,99,1,1,99,99,-1,1,-1,-1,99,-1,99,-1,99,1,-1,99,1,-1,-1,99,99,1,1,-1,99,1,1,99,99,99,1,-1,1,-1,1,99,1,99,99,99,99,99,99,1,99,99,99,-1,-1,99,99,99,-1,99,1,99,99,99,99,-1,99,99,-1,99,99,99,99,1,99,99,1,-1,99,99,99,99,99,99,99,99,-1,-1,-1,-1,-1,99,99,-1,99,99
wPt-6005,-1,99,99,99,99,1,-1,1,-1,99,1,1,99,-1,1,99,1,1,1,-1,1,1,1,-1,99,99,1,-1,99,1,1,99,1,1,1,1,1,1,-1,99,1,1,1,-1,-1,-1,1,99,99,-1,99,99,1,1,-1,-1,99,99,99,99,-1,99,-1,1,1,-1,99,-1,99,1,1,99,99,-1,1,-1,-1,1,1,99,-1,99,1,-1,99,1,-1,-1,99,99,1,1,-1,99,1,1,99,99,99,1,-1,1,-1,1,99,1,99,99,99,99,99,99,1,99,99,99,-1,-1,99,99,99,-1,99,1,99,99,99,99,-1,99,99,-1,99,99,99,99,99,99,99,1,-1,99,99,99,99,99,99,99,99,-1,-1,-1,-1,-1,99,99,-1,99,99
RGA3(5),1,99,-1,1,1,1,1,1,-1,99,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,99,-1,1,99,-1,-1,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
ksuD14b,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,99,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,99,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,99,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,99,99,99,99,99,99,99,99,99,99,99,99,99
Glu-B3,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,99
wPt-3465,1,99,99,99,99,1,1,1,99,99,1,1,99,-1,-1,99,1,1,99,-1,1,-1,1,-1,99,99,-1,1,99,1,1,99,99,-1,1,-1,1,-1,1,99,1,99,1,-1,1,99,1,99,99,-1,99,99,1,-1,1,-1,-1,99,99,99,1,99,-1,-1,-1,-1,99,-1,99,-1,-1,99,99,-1,1,1,-1,1,99,99,1,99,-1,1,99,1,-1,-1,99,99,1,-1,-1,99,1,-1,99,99,99,1,-1,-1,1,1,99,1,99,99,99,99,99,99,-1,99,99,99,-1,-1,99,99,99,1,99,1,99,99,99,99,1,99,99,-1,99,99,99,99,-1,99,99,1,1,99,99,99,99,99,99,99,99,1,-1,1,1,1,99,99,-1,99,99
gwm666,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,99,1,99,-1,1,1,99,1,-1,-1,-1,1,-1,1,-1,1,-1,99,99,-1,-1,99,99,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,99,99,-1,-1,99,99,1,99,99,99,1,-1,99,-1,-1,1,-1,99,99,99,1,1,1,1,-1,-1,-1,-1,-1,1,1,99,-1,-1,1,-1,-1,1,-1,99,1,-1,-1,-1,99,-1,-1,-1,-1,1,1,99,1,99,1,99,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,99,-1,1,-1,1,99
barc8,1,1,-1,1,99,99,1,1,1,-1,1,1,-1,1,99,1,1,-1,1,99,99,-1,-1,-1,1,1,1,1,99,99,99,1,1,1,-1,-1,1,-1,-1,-1,99,-1,99,99,-1,1,1,1,-1,1,99,99,99,-1,1,-1,99,-1,99,99,1,99,-1,99,-1,-1,1,-1,99,99,1,-1,-1,99,-1,99,-1,99,99,1,1,99,-1,1,1,1,-1,1,-1,-1,1,1,99,-1,1,-1,99,1,-1,-1,1,1,1,1,-1,1,1,1,99,-1,-1,1,-1,99,99,1,1,99,1,99,99,99,99,1,-1,-1,99,-1,-1,-1,-1,99,99,1,99,99,1,1,99,99,1,1,99,1,-1,99,99,-1,-1,1,1,99,-1,-1,1,1,1,1,99
*stm288agac,99,99,99,99,99,1,1,1,1,99,1,99,99,1,-1,99,1,-1,99,-1,-1,99,-1,-1,99,99,1,1,99,1,1,99,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-1,99,99,1,99,99,-1,-1,1,-1,99,-1,99,99,1,99,-1,-1,99,99,99,-1,99,99,99,99,99,-1,-1,99,99,99,1,99,1,99,-1,1,99,1,-1,1,99,99,1,1,-1,99,1,-1,99,99,99,-1,1,1,1,-1,99,1,1,99,-1,99,99,99,-1,99,99,99,1,1,99,99,99,1,-1,1,99,99,99,99,-1,-1,99,-1,99,99,99,99,1,99,99,1,1,99,99,99,99,99,99,99,99,1,1,1,-1,99,99,99,99,99,99
gwm18,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,99,99,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1
psr949,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,99,99,-1,-1,-1,-1,-1,-1,-1,-1,1,99,99,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,99,99,99,-1,-1,1,-1,-1,1,99,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,-1,99,-1,99,1,-1,-1,1,-1,99,-1,99,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,99,1,1,-1
